"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数化异常测试：验证各种非法输入不会创建文章","30","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"参数化异常测试：验证各种非法输入不会创建文章","30","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"","10","搜索场景：S04:特殊字符安全","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestSearch","test_article_list","",""
"","9","搜索场景：S03:搜索无结果","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestSearch","test_article_list","",""
"参数化异常测试：验证各种非法输入不会创建文章","17","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"
        直接调用底层 Session 发送数据，测试后端解析器的健壮性和安全性。
        ","5","安全测试：输入纯空格","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"验证管理员会话下，用edit接口新增文章，验证文章的新增和删除","101","文章管理-01: 管理员正常新增文章","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"","31","分页场景：页宽越界_零值","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"","9","S01:精确搜索唯一标题","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestSearch","test_article_list","",""
"
        直接调用底层 Session 发送数据，测试后端解析器的健壮性和安全性。
        ","5","安全测试：输入SQL尝试注入","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"
        验证删除接口对异常 ID 或混合 ID 的处理，确保不报错、不误删。
        因为 -1 和 99999 系统中不存在这样的ID 因此无需为这两个用例创建文章
        ","86","边界测试：混合真实ID与不真实ID","h3blog_test.testcases","2026-03-18","failed","2026-03-18","TestArticleRemove","test_article_remove","",""
"验证传入不存在的ID时，接口返回友好错误","8","文章管理-05：修改不存在的文章ID","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"","31","分页场景：页宽越界_负值","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"参数化异常测试：验证各种非法输入不会创建文章","37","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","failed","2026-03-18","","test_article","",""
"
        验证是否能删除不同状态的文章（特别是已下架文章，常出现逻辑漏洞）。
        ","45","状态测试: 删除草稿的文章","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
"","8","分页场景：第二页_默认页宽","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestPagination","test_article_list","",""
"验证文章核心流程的连贯性：创建-编辑-删除","91","文章管理-03：新增-修改-删除端对端流程","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"参数化异常测试：验证各种非法输入不会创建文章","16","文章管理-02：新增文章异常场景参数化","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"验证编辑文章后，列表和搜索接口能立即反映更新","67","文章管理-06：编辑后列表/搜索同步验证","h3blog_test.testcases","2026-03-18","passed","2026-03-18","","test_article","",""
"
        验证删除接口对异常 ID 或混合 ID 的处理，确保不报错、不误删。
        因为 -1 和 99999 系统中不存在这样的ID 因此无需为这两个用例创建文章
        ","8","边界测试：删除不存在的ID","h3blog_test.testcases","2026-03-18","passed","2026-03-18","TestArticleRemove","test_article_remove","",""
